"TRIP_ID","TRAVEL_TIME"
"T1",660
"T2",660
"T3",660
"T4",660
"T5",660
"T6",660
"T7",660
"T8",660
"T9",660
"T10",660
"T11",660
"T12",660
"T13",660
"T14",660
"T15",660
"T16",660
"T17",660
"T18",660
"T19",660
"T20",660
"T21",660
"T22",660
"T23",660
"T24",660
"T25",660
"T26",660
"T27",660
"T28",660
"T29",660
"T30",660
"T31",660
"T32",660
"T33",660
"T34",660
"T35",660
"T36",660
"T37",660
"T38",660
"T39",660
"T40",660
"T41",660
"T42",660
"T43",660
"T44",660
"T45",660
"T46",660
"T47",660
"T48",660
"T49",660
"T50",660
"T51",660
"T52",660
"T53",660
"T54",660
"T55",660
"T56",660
"T57",660
"T58",660
"T59",660
"T60",660
"T61",660
"T62",660
"T63",660
"T64",660
"T65",660
"T66",660
"T67",660
"T68",660
"T69",660
"T70",660
"T71",660
"T72",660
"T73",660
"T74",660
"T75",660
"T76",660
"T77",660
"T78",660
"T79",660
"T80",660
"T81",660
"T82",660
"T83",660
"T84",660
"T85",660
"T86",660
"T87",660
"T88",660
"T90",660
"T91",660
"T92",660
"T93",660
"T94",660
"T95",660
"T96",660
"T98",660
"T99",660
"T100",660
"T101",660
"T102",660
"T103",660
"T104",660
"T107",660
"T109",660
"T110",660
"T111",660
"T112",660
"T113",660
"T114",660
"T115",660
"T116",660
"T117",660
"T118",660
"T119",660
"T120",660
"T121",660
"T122",660
"T123",660
"T124",660
"T125",660
"T126",660
"T127",660
"T128",660
"T129",660
"T130",660
"T131",660
"T132",660
"T133",660
"T134",660
"T135",660
"T136",660
"T137",660
"T138",660
"T139",660
"T140",660
"T141",660
"T142",660
"T143",660
"T144",660
"T145",660
"T146",660
"T147",660
"T148",660
"T149",660
"T151",660
"T152",660
"T153",660
"T154",660
"T155",660
"T156",660
"T157",660
"T158",660
"T159",660
"T160",660
"T161",660
"T162",660
"T163",660
"T164",660
"T166",660
"T167",660
"T168",660
"T169",660
"T170",660
"T171",660
"T172",660
"T173",660
"T174",660
"T175",660
"T176",660
"T177",660
"T178",660
"T179",660
"T180",660
"T181",660
"T182",660
"T183",660
"T184",660
"T185",660
"T186",660
"T187",660
"T188",660
"T189",660
"T190",660
"T191",660
"T192",660
"T193",660
"T194",660
"T195",660
"T196",660
"T197",660
"T198",660
"T199",660
"T200",660
"T201",660
"T202",660
"T203",660
"T204",660
"T205",660
"T206",660
"T207",660
"T208",660
"T209",660
"T210",660
"T211",660
"T212",660
"T213",660
"T214",660
"T215",660
"T216",660
"T217",660
"T218",660
"T219",660
"T220",660
"T221",660
"T222",660
"T223",660
"T224",660
"T225",660
"T226",660
"T227",660
"T228",660
"T229",660
"T230",660
"T231",660
"T232",660
"T233",660
"T234",660
"T235",660
"T236",660
"T237",660
"T238",660
"T239",660
"T240",660
"T241",660
"T242",660
"T243",660
"T244",660
"T245",660
"T246",660
"T247",660
"T248",660
"T249",660
"T250",660
"T251",660
"T252",660
"T253",660
"T254",660
"T255",660
"T256",660
"T257",660
"T258",660
"T259",660
"T260",660
"T261",660
"T262",660
"T263",660
"T264",660
"T265",660
"T266",660
"T267",660
"T268",660
"T269",660
"T270",660
"T271",660
"T272",660
"T273",660
"T274",660
"T275",660
"T276",660
"T277",660
"T278",660
"T279",660
"T280",660
"T281",660
"T282",660
"T283",660
"T284",660
"T285",660
"T286",660
"T287",660
"T288",660
"T289",660
"T290",660
"T291",660
"T292",660
"T293",660
"T294",660
"T295",660
"T296",660
"T297",660
"T298",660
"T299",660
"T300",660
"T301",660
"T302",660
"T303",660
"T304",660
"T305",660
"T306",660
"T307",660
"T308",660
"T309",660
"T310",660
"T311",660
"T312",660
"T313",660
"T314",660
"T315",660
"T316",660
"T317",660
"T318",660
"T319",660
"T320",660
"T321",660
"T322",660
"T323",660
"T324",660
"T325",660
"T326",660
"T327",660
